question_index	category	f1	bleu1
0	2	1.0000	1.0000
1	2	0.0000	0.0000
2	3	0.2857	0.2500
3	1	1.0000	1.0000
4	1	0.0000	0.0000
5	2	0.0000	0.0000
6	2	0.0000	0.0000
7	1	0.0000	0.0000
8	2	0.0000	0.0000
9	2	0.2500	0.1711
10	2	1.0000	1.0000
11	1	0.0000	0.0000
12	2	0.4444	0.3333
13	1	0.5455	0.3543
14	3	0.0000	0.0000
15	1	0.1935	0.1111
16	2	0.0000	0.0000
17	2	0.6667	0.5000
18	1	0.3636	0.2500
19	1	0.0000	0.0000
20	2	0.0000	0.0000
21	2	0.9091	0.8333
22	3	0.3636	0.2667
23	1	0.5714	0.2231
24	1	0.1818	0.1000
25	2	1.0000	1.0000
26	2	0.0000	0.0000
27	3	0.0000	0.0000
28	2	0.5000	0.3423
29	2	0.5000	0.3423
30	3	0.1818	0.1637
31	2	0.7500	0.5134
32	1	0.1905	0.1111
33	2	0.2500	0.1579
34	1	0.1111	0.0625
35	2	0.4444	0.2453
36	2	0.7500	0.5134
37	1	0.0000	0.0000
38	1	0.1081	0.0645
39	1	0.1875	0.1176
40	1	0.0000	0.0000
41	2	0.0000	0.0000
42	3	0.5714	0.2231
43	1	0.3333	0.2500
44	2	0.8000	0.6667
45	2	0.6667	0.5841
46	3	0.3333	0.2500
47	1	0.6250	0.4545
48	1	0.0000	0.0000
49	2	0.0000	0.0000
50	3	0.0000	0.0000
51	1	0.1481	0.0833
52	1	0.6667	0.6667
53	2	0.7500	0.5134
54	2	0.4000	0.2667
55	1	0.0000	0.0000
56	1	0.0000	0.0000
57	2	0.5000	0.3423
58	2	0.0000	0.0000
59	3	0.1875	0.1111
60	1	0.7500	0.6000
61	1	0.6667	0.3679
62	2	0.0000	0.0000
63	2	0.6667	0.5000
64	3	0.2000	0.1667
65	1	0.1538	0.0889
66	1	0.0000	0.0000
67	2	0.0000	0.0000
68	2	0.0000	0.0000
69	3	0.0000	0.0000
70	1	0.5714	0.5000
71	1	0.0000	0.0000
72	2	0.0000	0.0000
73	2	0.8000	0.6667
74	2	0.6667	0.5841
75	1	0.0000	0.0000
76	1	0.0000	0.0000
77	3	0.0741	0.0500
78	1	0.5000	0.5000
79	2	0.5000	0.3423
80	2	0.0000	0.0000
81	3	0.0870	0.0625
82	4	1.0000	1.0000
83	4	0.0000	0.0000
84	4	0.1081	0.0909
85	4	0.0000	0.0000
86	4	1.0000	1.0000
87	4	0.5385	0.4118
88	4	0.2500	0.1600
89	4	0.3333	0.2500
90	4	0.3333	0.0183
91	4	0.4000	0.2500
92	4	1.0000	1.0000
93	4	0.0000	0.0000
94	4	1.0000	1.0000
95	4	0.2222	0.1579
96	4	0.4138	0.3750
97	4	1.0000	1.0000
98	4	0.4000	0.4000
99	4	0.2778	0.2174
100	4	0.4000	0.2941
101	4	0.0000	0.0000
102	4	0.7273	0.6154
103	4	1.0000	1.0000
104	4	0.0000	0.0000
105	4	0.1250	0.1000
106	4	1.0000	1.0000
107	4	0.5333	0.4444
108	4	0.2857	0.1667
109	4	1.0000	1.0000
110	4	0.0000	0.0000
111	4	1.0000	1.0000
112	4	0.0000	0.0000
113	4	0.5714	0.4167
114	4	0.7500	0.6000
115	4	0.4828	0.4667
116	4	0.4375	0.3182
117	4	0.8889	0.8000
118	4	0.0000	0.0000
119	4	0.0909	0.0556
120	4	1.0000	1.0000
121	4	0.0000	0.0000
122	4	0.2000	0.1818
123	4	0.0000	0.0000
124	4	0.1667	0.1250
125	4	1.0000	1.0000
126	4	0.0000	0.0000
127	4	0.0000	0.0000
128	4	0.5000	0.3333
129	4	1.0000	1.0000
130	4	1.0000	1.0000
131	4	1.0000	1.0000
132	4	0.5000	0.5000
133	4	0.3333	0.2921
134	4	0.5000	0.3913
135	4	0.0952	0.0909
136	4	0.0000	0.0000
137	4	0.4211	0.3333
138	4	0.1905	0.1429
139	4	0.6364	0.6364
140	4	0.0000	0.0000
141	4	0.1429	0.1250
142	4	0.1000	0.0714
143	4	0.1667	0.1250
144	4	0.0000	0.0000
145	4	0.1290	0.0870
146	4	0.2500	0.1711
147	4	0.1500	0.0882
148	4	0.1818	0.1667
149	4	0.1905	0.1111
150	4	0.0000	0.0000
151	4	0.1429	0.1250
152	5	1.0000	1.0000
153	5	1.0000	1.0000
154	5	0.0000	0.0000
155	5	1.0000	1.0000
156	5	1.0000	1.0000
157	5	1.0000	1.0000
158	5	1.0000	1.0000
159	5	1.0000	1.0000
160	5	0.0000	0.0000
161	5	0.0000	0.0000
162	5	0.0000	0.0000
163	5	1.0000	1.0000
164	5	0.0000	0.0000
165	5	0.0000	0.0000
166	5	0.0000	0.0000
167	5	0.2500	0.1429
168	5	1.0000	1.0000
169	5	1.0000	1.0000
170	5	0.0000	0.0000
171	5	1.0000	1.0000
172	5	0.0000	0.0000
173	5	1.0000	1.0000
174	5	0.0000	0.0000
175	5	1.0000	1.0000
176	5	0.0000	0.0000
177	5	0.0000	0.0000
178	5	0.1000	0.0526
179	5	0.0000	0.0000
180	5	1.0000	1.0000
181	5	1.0000	1.0000
182	5	1.0000	1.0000
183	5	1.0000	1.0000
184	5	0.0000	0.0000
185	5	0.0000	0.0000
186	5	1.0000	1.0000
187	5	1.0000	1.0000
188	5	0.0000	0.0000
189	5	1.0000	1.0000
190	5	0.0000	0.0000
191	5	0.0000	0.0000
192	5	1.0000	1.0000
193	5	0.0000	0.0000
194	5	1.0000	1.0000
195	5	0.0000	0.0000
196	5	1.0000	1.0000
197	5	1.0000	1.0000
198	5	0.0000	0.0000

category	avg_f1	avg_bleu1	count
CATEGORY_1	0.2459	0.1846	32
CATEGORY_2	0.3842	0.3086	37
CATEGORY_3	0.1757	0.1188	13
CATEGORY_4	0.3938	0.3529	70
CATEGORY_5	0.5181	0.5148	47
